user,rating,content,votes,time
AsuraHu,力荐,人生总有一面是我们看不到的。对于这一面的我们，那一面的穷苦疾恶除了唤出一声“至于吗”，叫醒一丝好奇，还应该有一点端庄而郑重的思考。关于人性之中的正反两面，关于生活的荆棘和荆棘上的野花。在寻访自己的路途之前，用双眼去经历。,6,2011-06-07 06:13:18
懒人老猫,力荐,俺喜欢这种风格,4,2007-10-10 10:31:54
JOJOORC/Z,推荐,后半部分渐入佳境,8,2008-10-13 10:13:24
薇羅尼卡,无,滴血的人生，无言的自我,4,2005-12-06 23:47:50
药师,力荐,用最平淡的口吻说最惨痛的经历。,3,2021-04-05 23:18:13
[已注销],较差,小说的推动应遵守“因为做了什么，所以会导致什么后果”，而非“为了导致什么样的后果，所以做了什么事”。这部小说为了追求尖锐的矛盾与波折，刻意营造各种事件与冲突，这样做的结果就是作者人为干扰的影子太重，“情节”感太强，小说中的每个人物都被营造成了“为了推动情节发展而存在”的人偶。,6,2012-05-12 22:12:25
Vamei,推荐,悲惨地坚持活着。是活着重要，是尊严重要。是钱，还是一腔血？ 人生的所得都要用血去换么？,1,2012-08-17 15:35:46
姬气猫,力荐,许三观牢骚满腹地对许玉兰说：这就叫屌毛出得比眉毛晚，长得倒比眉毛长。,2,2012-02-15 09:16:20
鱼剑,力荐,这本书的结构很棒啊，前面虽然写了几次卖血经历，但都是断断续续的，没有给人造成紧张压迫感，而最后许三观接连卖几次血的情节一下子就把人的情绪带进去了，让人揪心，害怕，难受。这本书对人物刻画也是很到位，尤其是那些人说的话，都太贴切了。余华真的是一个不错的作家,2,2017-02-15 00:33:30
Yuyii,力荐,哭安逸了~,2,2011-01-16 21:02:20
esp吃梦香菇,力荐,技术高超的流水账记法，钦佩。,3,2017-06-12 10:03:19
Z,力荐,许三观最后一句话最经典:),2,2007-10-27 20:53:57
未命名,推荐,余华少有的不是很悲的故事。,2,2014-09-03 19:37:23
暖温带苦力,力荐,一乐在文革时期说：“爸，除了毛主席，我最爱你。”这个，特别感动。,3,2019-06-05 21:16:04
三四,力荐,【20101117】他的一生可谓平淡无奇乏善可陈，他的壮举就是卖血,1,2010-11-26 11:46:41
炯之,推荐,如果说活着是哭着看完的，那么许三观应该算是笑着看完的，这种笑更多的是一种余华笔下乡村描摹的揶揄，在余华的农村，人物的行为语言故事风俗等等都显得滑稽，这种滑稽背后隐藏的就是一种真实的荒诞感，在这个维度上，余华和现代主义文学还是有很深的联系，许三观一次次卖血，每次都是为别人，但最后想为自己卖一次血却卖不了了，这个结局本身就是对人物行为巨大的嘲讽。因为他对现实独到的关照所以往往被定义为现实主义作家，余华的现实主义更多的还是在对一个农村世界的描摹上，样样荒诞却又透露着合理性，想要批判的主题也很固定，余华应该可以算一个把真实与荒诞结合的比较好的作家。读余华的文字，极其简单，毫无修饰，读起来你会不自觉的读成某种方言，或者说你会用一种不知道哪的方言去读他的文字。总体上给人的感觉有冲劲却又有种往回收的平淡。,9,2018-01-09 12:55:52
瓦达西瓦又又又桑只爱这巧克力,还行,没看出好来，我以为最后得特惨一下，结果一直温吞着，最后大团圆了还。。人物性格也不饱满。我讨厌大团圆和大段的对话、自白、极少的神情描写和极少的环境描写，这样显得特别不细腻，纯粹用情节就很讨巧，普通作家这么写可以接受，一线作家这么写就很不上档次了。,6,2014-09-02 08:29:27
ligeng,还行,过程很悲催，结局还是幸运的。比起活着、在细雨中呼喊，总感觉缺了些什么,2,2015-01-28 22:28:35
洛,力荐,我想给四星半 不是余华最好的小说 也接近了,1,2008-05-21 14:27:21
周重林,无,许三多也卖血。,1,2012-08-17 01:06:13
独自退场,力荐,许三多真心不错。结尾三多同志骂他儿子说你劳资当年是卖血才神马神马的，别有趣味。,2,2012-03-06 20:10:52
Liane,还行,滴着鲜血但又平凡朴实的生活。,1,2017-10-29 00:05:38
Bill,推荐,这就叫屌毛出得比眉毛晚，长得倒比眉毛长。,1,2010-12-28 11:12:17
苏丹红,推荐,一首民歌 一个民间故事,2,2008-09-27 19:08:16
Zhao,无,皮肉，血，都可以被交换。生存太艰难，连身体都可以被交换。我曾写过一个关于卖肾的小说，嗯，会重写出来的。,1,2013-05-08 15:22:10
我是你拐子,较差,怎么说，感觉就像剪纸动画,2,2012-12-27 22:09:59
卢十四,推荐,名著，不必多说,1,2005-11-15 17:39:34
土拨鼠君,力荐,“一盘炒猪肝，二两黄酒，黄酒要温一温。”再大的苦难都像是一场黑色幽默。人性本善。,1,2014-03-23 13:33:07
苏豆芽,推荐,这本真的看过，不过最近买了个作家出版社的，找余华签名来着，翻了一下，感觉好像从没看过，无力,3,2010-06-01 08:23:33
时间之葬,推荐,对于这种斧凿痕迹过重的语言风格其实并不算欣赏，但是对于国人的生存困境的确有相当深切的认知,0,2019-05-26 18:20:17
浠墨,还行,少了太多内在的东西,1,2010-04-20 23:00:49
卡佳,力荐,感动而震撼。,4,2013-08-16 09:13:29
Jus,推荐,“作者退出凌驾在作品之上的抽象叙述角度，让人物自己讲述他们亲身经历的具体事情和见闻，并且是用一种看似荒诞的逻辑将人物的经历与历史相关联，使得洪大的历史潮流微观化，真正变成人物生活的一部分。”,1,2013-07-17 15:08:21
zhtfan,力荐,看前一半时笑个不停，看后一半时差点哭了。这个就叫笑中有泪，苦中有乐吧。这是一个讲述一群普普通通的好人的故事。,1,2013-02-18 11:32:36
Vincent,还行,哀而不伤,1,2007-12-23 19:20:46
凉意,推荐,"与《活着》的风格如出一辙，只是这次作者彻底地退场了，我说的是字面上的退场，字面后是不是真退场，值得深究。毕竟这是作者自己在序言中的宣言。
整部小说说不上紧凑，中间甚至有大段游离在卖血之外。（许玉兰、一乐等肥皂剧情节占了不少篇幅）但如果把这段理解成卖血的象征意义，那还说得过去（出卖、背叛血所代表的血亲伦理观）
另一点非常诡异的是，许三观的人格经历了从极卑劣到极伟大的升华。这和《活着》里的福贵一样，只是福贵是明写出来，并且还有个输光家产后洗心革面重新做人的设定，可许三观呢？就是一乐坐在烟囱喊魂那段以后，就态度突变了。变化之快，觉悟之高，堪比火箭。看看为家人用嘴炒菜看看为一乐沿路卖血看看家里开批斗会，比比以前对许玉兰对一乐的态度。作者还说是让人物自己说话。可是这样的设计已经不是上帝造人，设定个初始状态，看他自己造化，而是重头到尾都依着作者自己的愿望在编排。人物的自我同一性就这样被无情践踏了。",1,2009-12-27 22:19:30
玩玩·而已,推荐,这时候余华脑子还没坏掉,1,2013-08-10 22:58:39
大猫,还行,四篇customized preface，有讨巧的感觉，不由得想到老谋子；时代印记、生活气息浓烈，但文笔比较粗糙，而且情节发展相比较《活着》，有些雷同了。,1,2012-02-09 17:36:50
柚子竹,还行,起码隐射了些许当时敏感社会的民众的灰色思想。,1,2010-11-22 09:36:28
正好,推荐,总体来说是个喜剧,1,2009-02-26 18:42:14
