user,rating,content,votes,time
千寻｜Scorpio,推荐,余华笔下的精彩，是他没有废话。一个人为之一生的跌宕起伏，像是一艘破烂的小船挣扎在狂风暴雨的大海里，但这却是很多年以来中国农民的写照：隐忍。有庆之死让我难过了好一阵，二喜的哭又让我心里一凉，所有的悲剧并不是一个人的命不好，而是让人感受到“活着”本身就是一种力量，你以为是命运选择了你，但你能选择人生态度。,1211,2013-08-20 12:39:16
吕抗美,力荐,有些时候我真想写点这样的文章，看完人家的东西以后你才知道自己写的有多肤浅。,1203,2015-07-21 10:23:01
❄五月雨永远❄,力荐,余华的笔法是残忍而善良的。福贵的命运仿佛神话悲剧一般不可违抗，在旁观者我的视角里不断苦熬着，而作为＂你一生的故事＂中自身的叙述者，他有只是那个灾难时代的普通人一般生活着。末了哼着＂少年去游荡，中年想掘藏，晚年做和尚＂消失在视野中时候，作者又给予读者一丝安慰：活着的意志，是他唯一没被夺走之物。人生对他而言，“窄若手掌又宽若大地”。,1061,2013-10-18 21:59:34
一百七,力荐,福 。贵,1024,2014-11-25 09:30:03
七盐阿宝2,力荐,一打开就一定要看完才睡！,813,2014-10-12 22:48:21
-路人君-,推荐,正如作者自己所言，只有从第一人称的来写才不可以悲惨。只有自己才能让生活充满期待。,757,2014-10-22 09:50:03
有阴影的才有光,力荐,小说不长，三个小时就翻完了。然而中间眼睛湿了好几回：儿子被抽血过多去世，女儿产房大出血去世，妻子去世。都在同一家医院。女婿被石粘板夹死，外甥被豆子噎死。见过生命太多的苦难，而最大的苦便是在亲手埋葬了亲人之后一个人活着。,900,2016-05-01 00:53:34
莱布尼糍,力荐,从凤霞难产而亡开始，眼泪止不住地掉，每每回忆时也免不了眼角的湿润。正如余华在序言中说到的，时间是最好的见证，时间造就了一切：苦难、喜悦、悲惨等。也是时间让我们看到魔力，看到活着的魔力。,692,2015-01-03 11:32:27
野生的格子菌,力荐,"to living is luck,but life sucks",582,2014-10-25 06:44:01
Urban_Solitude,无,（其实看的是这一版）余华在序里说，外人看起来是悲剧，可当事人只拿它当一段人生。突然理解了孟京辉选黄渤做主角的用意，当真是绝妙的一笔。在甘南的这一路读完，尤其是在桑科的那一晚，读一会儿便抬头望望藏民，或埋头熬茶，或无声诵经，或扯着裤子站在自家草场上发呆，或招揽过往游人夸耀着手上这匹老马。No judgement. It's just life.,449,2013-10-09 14:48:10
受刑的堕天使,无,得去找部爆米花片子缓解一下- -,477,2015-01-15 15:11:10
纯情少年李八唧,还行,二喜和苦根的死有点刻意。电影版的结尾比较正常。,385,2015-06-12 22:50:10
Neski.,力荐,这本书太冷静，叙述和文笔太朴素，以至于当悲剧和死亡接踵而至我捧着书都有点喘不过气。人总需要勇敢生存，福贵身上那种意志，让人感受到活着的力量。,565,2013-08-11 02:30:45
晓榕,力荐,人是为活着而活着，而不是为了活着之外的任何事情而活着。,356,2015-04-19 22:09:27
倪知木,推荐,我始终认为，《活着》应该写得更节制一些。人死得越多，死亡便越失去了力量。,496,2017-09-04 18:10:58
Jason. 李志星,力荐,只说缺点，对忍耐式的美德的近乎病态的呈现和歌颂，在智德视角上的缺失是中国作家乃至是中国思想家的通病，日本人在这方面要比我们早早醒悟许久。,419,2014-11-21 17:06:01
周游,推荐,用了三天时间就看完了拖了若干年都没看的经典，不知道是这几年看的书太多了，还是历经沧桑世事，总之并没有想象中的震撼和惊喜。我们对于书，对于经典的际会相逢也得讲究个时间和契机，相遇的太早是囫囵吞枣，相遇的太晚已经是波澜不惊。,470,2015-11-20 20:45:02
王建国,无,老觉得这只是个小说介绍...真正丰满的故事还没开始...,405,2013-04-20 19:41:00
陈小奈,还行,感觉读序言比正文收获多，他知道自己想写什么，也知道写成什么样是好的，但却没写出来,293,2015-10-05 12:04:30
谁,力荐,初中读只觉得这人可真惨全家死光光，现在再看便觉得鲁迅说的对，真的勇士敢于直面惨淡的人生。面对不可预知的未来和没有尽头的苦难，活着便是最大的勇气。哈利波特里罗琳总是把代表勇气的格兰芬多放在最重要的位置上，当时认为幼稚，比起虚无缥缈的勇气，明明野心和智慧在真实世界才是真正有用的。看了罗琳自身的遭遇才明白为什么勇气对她来说如此意义重大，对我又何尝不是呢，只不过做学生时没有经历便意识不到罢了。,372,2016-05-31 01:16:32
梦之浮桥w,力荐,高二晚自习一口气读完，不学习干啥都有劲。,418,2021-01-10 22:41:09
烧賣,力荐,黑发人送白发人 白发人送黑发人 白发人送白发人 救一头牛为你送终,247,2016-06-01 01:31:21
失意的孩子,推荐,许三观是守得云开见月明，而福贵身边人却全都死光了，只剩下身边一头老牛陪伴着，中国二十世纪的社会变迁导致的惨淡农村生活全都浓缩进了这部小书里，福贵倒是很坚韧，在苦难面前的阿Q精神反而让他带着种乐观，只是不知道身边这么多亲人死去赢来这样一种态度到底值得不值得，这份活着实在是太沉重。然而再沉重读起来都是流畅、快速的，简洁又生动固然不错，但余华是在塑造一种力量，这样却最终导致了力度的欠缺。而且为苦难而苦难的矫情看的有点难受——也许是因为对福贵一家产生了同情，或者更让人难受的是我们认为他是可悲的然而他自己却不这么认为。下次如果我再看许三观，看到他的“幸运”，估计会更加感慨万千吧。,202,2015-05-05 22:53:38
十六,推荐,某些悲剧太刻意了,134,2013-05-26 23:11:13
齐冀,推荐,开头说到，有些老人对自己的过去说不上来，年轻人就骂他们：一大把年纪活到狗身上去了。说富贵和别的人不一样，他能够记得并讲述自己的一生，而且带着反思的光芒。是的，很多老人活了很久根本还像出生时一样无知，人生经验在她们呢根本就是零，没有思考没有经历因此也有没有经验可谈，没有经验积累，活了多少年都是一样，他们只是生活可以自理的傻子，对于疼痛也就不那么尖锐。,173,2015-08-26 10:27:37
白胖饺子,还行,"再悲天悯人的情怀，也经不住接连不断地展示苦难。看多了之后觉得更像是一种引发共情的写作技巧。
书写苦难毕竟不是目的，抛开故事背景的话，有种看台湾苦情戏之感。尤其是看了作者的系列之后。",129,2018-12-08 07:37:22
咖啡燕,还行,不断怀疑自己是不是错买了盗版，盛名之下却是这样平淡。也许符合了外国人的期望吧。,149,2014-12-23 21:38:01
鼻涕虫,力荐,书叫活着，写的都是死亡,201,2019-01-24 20:39:52
豆友157775307,还行,二刷。第一次看的时候周围的人说好看也跟着说好看，这次重新看，又觉得其实挺一般的。活着不就是为了寻找人生意义吗？如果只是为了活着而活着，那不就跟行尸走肉一样了。而且福贵这个人设的转变实在太过突兀，原来还是个纨绔子弟，父母妻子女儿从来没有关心过，把宅子赌没了就一下子洗心革面会疼惜家人了？几个小时前还对妻子拳打脚踢的人，说服力实在弱（说起来家暴男真恶心，看看他女婿二喜，哪里跟他一样了)。然后估计跟当时时代社会背景有点关系，“凤霞命苦，这辈子是要苦到底了。有庆可不能苦一辈子，要让他念书。总不能让两个孩子都被苦捆住”“我呢，也不急，是我的儿子总是要开口叫我的”“你给我、给你娘你姐姐争了口气，我很高兴”，这种话都让我看得非常不舒服。,166,2018-09-08 23:59:43
安德烈大叔,推荐,不觉得极端，只不过国人的悲苦现在以另外一种方式持续着,135,2016-10-04 09:51:03
喂喂喂,推荐,这是什么天煞孤星的命？？,117,2019-03-27 15:01:07
天干物燥王面面,力荐,在寒冷冬天烧得暖烘烘的大巴车内读完，抬眼是多伦多高耸的楼群。历史沧桑而历史中的人可爱又可恨。后来姥姥给我讲她的少年时期：当地显赫的地主家庭，在农历八月十五仓皇地撇下家产逃走，姥姥的妈妈在逃亡的最后一晚还心惊胆战地在田地里收割。后来成绩优秀的姥姥报考初中，却因为家庭背景而无法继续读书。又说到十年文化灾难，姥姥说，你根本想象不到那时候死了多少人。,100,2015-01-04 07:34:10
奇下其因,较差,男主再苦，也不会比他的老婆、母亲苦，男作家的苦难乡土文学😅,44,2023-06-06 22:17:22
恰妮斯虫,力荐,“伟大”这个词在这本书面前也显得渺小。,65,2017-08-02 22:12:20
Ashely,推荐,这是一部残酷的人生史和中国近代史,100,2014-04-19 00:04:38
三个如延,还行,"这是一本“我应该喜欢但我却不喜欢”的小说。
《活着》最大的作用，是证明了苦难与疼痛是多么能引起读者共鸣。但福贵的叙事口吻从头到尾都未肖垂暮之人，几段“我”与福贵的现实衔接则跟《何以为家》的法庭戏一样糟糕。而对于苦难的描写到二喜死的时候已经让我不能再起波澜了——行文至此，苦难已彻底沦为了震动读者而呈现的展示品。这本书变成了悲剧的堆砌，与其说是写作，不如说是为了写作而在写作。但就余华自己写的序来说，似乎他的本意不是这样。那么，这部作品或许可以说，不论对作者还是对我这样的读者来说，都并不那么成功。",104,2020-12-31 23:03:43
Nancy,很差,当年鲁迅痛恨至极的所谓中国人的愚昧，在余华的笔下竟然隐隐的被称赞，我真的不知道要说些什么,101,2021-01-02 18:28:03
sycamoretrees,力荐,传闻说“原著比电影惨” 指的大概是死的人更多吧 总归还是读了 电影结尾保留了一份充满未来的美好 原著的美好 只在于福贵往后的人生可以无所畏惧 毕竟还有什么能够比“等死”还轻松呢？上一次读书掉泪还是《我们三》 读《活着》简直哭的无法继续…,86,2015-11-18 22:47:02
Jeanne d'Hsiu,还行,刻意堆彻的悲剧,141,2019-10-08 10:41:04
鲲生鹏𓃰,力荐,从旁观者来看，富贵太惨了，埋了爹，两个儿女，老婆，女婿，外孙，娘死时也没见着一面。但是富贵老婆死时却说：我也知足了，下辈子还嫁你。想来富贵也是有不少幸福的，只是被我们忽视了,126,2016-09-20 19:37:24
伯觉,力荐,好书是什么？一口气不带喘的读完，就是。,115,2016-07-02 16:36:54
巨米雨,无,无法评说，难受,93,2016-03-19 05:55:33
布布布兰登,力荐,近代农民苦难集,61,2013-05-22 13:20:34
雪,较差,我总觉得余华写底层是为写而写。,90,2016-09-08 18:11:48
乌冬,力荐,看完后竟在心中产生了要好好活着看世界的想法。,85,2013-08-06 23:34:36
momo,还行,没有动容  刻意营造一连串的苦难  刻意把苦难紧凑的堆在一起 以至于读到后面我都能预测到死因  比如闺女一怀孕我就判断到她未来会因生孩子而死,22,2024-02-11 11:53:21
石湃溪,还行,活着绝不是苦难的叠加。若说福贵是一代人，那为什么不写成纪实呢。一场场死是触目惊心的，也是麻木的。余华是写得好，不否认，只是福贵的生命过程让我觉得：这不够真实。,48,2018-07-19 08:15:19
虫虫,推荐,看到有庆的死差点哭了，后面有些麻木，每死一个人物，苦难叙事的力度就衰竭一次。残酷的真实写照，生活是属于每个人自己的感受，不属于任何别人的看法。,60,2017-04-27 22:38:15
白宇,力荐,真实自有万钧之力~这是一本让人看完会无言沉默良久的书，看到165页家珍死的时候自个儿在马路边就hold不住眼泪了，风一吹还挺凉的，你说这是一个悲剧吧，其实也不是，说是命运的诅咒吧，其实也没那么绝望，应该说是属于一段时代和历史的正剧，人间正剧是沧桑。。。余华没有刻意去渲染悲喜情绪，不动声色的讲述反而很有代入感,52,2013-04-16 20:52:56
三点。,力荐,一本好书就是看的过程中不断想，我为什么才开始看。太多想流泪的地方，到最后有一些伤感，有一些庆幸，也有一些平静。电影是断然不敢看的，觉得该是从头哭到尾吧。其实很喜欢序里的一句话：作家的使命不是发泄，不是控诉或者揭露。他应该向人们展示高尚。这里所说的高尚不是那种单纯的美好，而是对一切事物理解之后的超然，对善与恶一视同仁，用同情的目光看待世界，以及，他是那种能够看到自己过去模样的人，他可以准确地看到自己年轻时走路的姿态，甚至可以看到自己是如何衰老的,49,2015-12-14 17:06:12
雁城,推荐,活着和生存确实是两种概念。之前看到一篇议论文，谈中国人习惯性的丢脸，在文革时期更是丢惯了脸，有些人不堪忍受而自杀，有些人活下来，末了用的词，苟活。我却觉得看了不舒服，读了《活着》之后更看这观点不顺眼。环境坏了，非得鱼死网破用命来拼？夸耀为改变而死的人固然好，何必贬低那些无从选择的弱小存在？这种评判他人的价值观念明显出了问题。用死来成全，和所谓苟活来比，我不知道哪一种更懦弱。但我却从这个无用的苦难的农民身上，看到了所谓苟活背后的民族的乐观和血性。他们嚼下苦草，还能笑——这不是贱，不仅仅是生存，而是极不容易的“活着”。,54,2013-03-16 00:02:10
AMB,力荐,大半夜点着灯抹着泪看完的，余华把卑微和顽抗揉在一起砸到我心坎上了。,45,2021-08-15 00:31:18
流徵,还行,从上世纪中国变迁镜像的方面，反射出的范围很狭窄（宥于主人公是一个无知的农民，世界自然非黑即白）当然那些各种外语译本的读者看了之后自然以为自己已经借着一个农民之眼透彻地了解中国了。一开篇就抱着赚眼泪的目的使着赚眼泪的路数实在没法不反感。压迫不止，何碍？只要生命犹存。若非我误解，简直是倒退性的思想。依然欣赏余华极有掌控力而洗练的文字。,40,2013-09-13 23:00:58
刘教练,推荐,太惨了，我有点接受不了,41,2016-06-20 22:31:45
七xy,较差,"1.剧情简直让我槽多无口，我明白，你要表达“活着”这个人生最应该坚持的东西。但…好歹得顾忌一下内容吧，简直把书写成了一本“来来来，你猜怎么死的”悬疑！

2.我就问问，这就是个玩脱了的富二代的故事呗，不过是自己捅的篓子，咽不下去也得咽。让我完全没办法跟他建立感情，只想打破他的头。

3.人物内心空洞。我就问问福贵，你儿子让人整死了，你就菩萨心肠？就算是兄弟，就能心无嫌隙，拥抱友情，你是不是拿的《追风筝的人》的剧本？

4.战争和时代的描写，简直可以说单薄的要命。虽然拿《生活与命运》相比，确实是我过分。但这也太…

5.拉一踩一的挺多语句我也爱不起来。什么“家珍就这样清清白白的走了，不像村里有些女人”。我就问问，你们村的女人在剧情里根本没出现过，这莫名其妙捅一刀什么意思，你对女人有什么意见？",53,2020-01-18 13:06:36
大大大蘑菇,推荐,广州飞曼谷的飞机上读完的，福贵啊福贵多么讽刺一名字。,71,2016-02-10 04:05:55
smzdg,推荐,这么短的篇幅感觉根本撑不起这样厚重的题材，读下来的感觉就是太单薄了，仿佛走马观花一样匆匆走过了福贵的一辈子。不过结尾我很喜欢，很有感觉。,56,2021-07-15 23:42:08
藤条响,力荐,一口气就能看完 福贵这个名字取得好讽刺 一个又一个 送走了所有人啊……,36,2021-06-19 11:06:29
这可如何是好啊,还行,2.5 ①故事叙述的重点都放在人物的抗争上，而人物的具体抗争又始终拒绝着读者。②流水账式的叙述，前五分之四缓慢拖沓，后五分之一又像是赶着写完一样，越讲越快。③刻意安排的死亡，抗争与励志牵强附会。,40,2020-02-21 20:14:40
推你一把,很差,分明是蟑螂的生存哲学，不是很懂中国人在自我陶醉什么。我真的对当代中国文学喜欢不起来。,20,2024-01-27 13:36:00
周青,无,高一，借宋兄之书曾读，今宋兄已故,28,2021-01-27 12:48:54
景,很差,写作本身很多太牵强，福贵破产前后变化实在太生硬太假了。最后才看自序:“...这篇《活着》，写人对苦难的承受能力，对世界的乐观态度...”所以，我以为是反讽，批判封建愚昧，结果却是“不是控诉或者揭露，而是展示高尚”？我看不出小说有谁是高尚值得赞扬的，所有成年人都只剩麻木、愚昧。高尚的东西有很多，但绝对不是这样的。我真的很难赞同。,24,2021-12-28 22:37:58
cookies,较差,历史虚无主义。为了写苦难写苦难,14,2024-01-14 23:13:59
沉默,很差,这本描述49后苦难的书一直正常销售未受任何干扰，这种情况就能说明很多的问题。个人的极致苦难，全书见不到一句“不被容许”的愤恨、咒骂的情绪表达，儿子被抢救官员亲属的医生抽干血液而亡，夫妻俩只说了再也见不到儿子走在那条路上了，作者如何忍心这么写呢……这样的写作本该被唾弃，现实中却被如此之多的人吹捧，真是悲哀。展现苦难是为了思考苦难的根源，是为了不让这些苦难重演，这该是一个有良知的作家的应有之义吧。,8,2023-12-11 10:43:01
喜乐,还行,作者的文学素养不必多说，只是写作形式今天看来属于“中学生必读书籍之一”的范畴样式。看完以后，脑子里只有一个画面，夕阳西下黄昏时刻，一间小茅屋被群山围绕，远处的田地里若隐若现的有几只牛羊甩着尾巴吃着青草，时不时还有几只小鸟叽叽喳喳的飞过，人却不见一个。还是《兄弟》贴合现在这个疯狂的世界。,28,2017-01-17 15:14:07
墨染,力荐,"一个人的一生，一个国家的几十年。
主人公的一生都在经历着国家的变革，一个人便是国家的缩影",64,2016-07-21 10:13:49
居无间,力荐,余华的文字，称得上简洁有力。透过一个家庭的巨变，折射出八十年代的中国史。立意足够宏观，生活细节又足够琐碎真实。徐家的日子，和富贵的祈望背道而驰，是从牛活成了羊，再活成鹅，活成鸡，最后鸡飞蛋打。他们始终被时代戕害，还不自知，就那么笑呵呵地忍耐着，承受着，活得支离破碎。,30,2020-04-15 11:40:06
别时容易,力荐,《活着》是一次残忍的阅读,38,2021-04-30 18:14:08
妄續幽冥之錄,较差,这书可能对不起这么高的评分，但却对得起大众的文化审美水平。,17,2023-11-14 17:37:26
盛世美颜小师傅,力荐,尼采抱着马哭，福贵把快死的老牛从屠夫手里买下来。一个存在主义的点睛之笔。,35,2017-12-04 00:11:17
咩绝师太,力荐,今年读得最快的一本书。这本书里有这样一句话我回味了很久，仍然很有意思：“人是为活着本身而活着的，而不是为了活着之外的任何事物所活着。”,45,2014-06-24 21:48:19
锐利修蕊,力荐,千言不敌一生。,15,2019-10-26 22:27:07
魔法使之夜月,力荐,所有的文字自然而然，但有千斤巨石压在胸口。,7,2024-05-05 11:37:29
Talent,力荐,"""沉浮如光，唯有夕阳斜""",38,2014-09-14 21:06:51
轶尘heather,较差,生硬得把所有悲剧杂糅到一起，看到后面一点感触都没有，简直悲剧的荒诞，造作。再说到社媒对余华的影响，简直就是无脑吹捧，本身觉得本书就还行，大抵三星还是有的。结果却被天花乱坠的宣传搞破了，现在社媒连文学都要搞了么？！,15,2023-10-24 08:44:37
蓝田玉,力荐,活着就是活着本身，不是别的什么。,19,2021-01-25 11:49:30
一役,力荐,最精简的书最深厚的力量，概括了整个中华民族的特性——活着。,13,2021-05-26 17:11:21
岚虎冬,力荐,"其实短评里有一句话说的很好，在那个年代，像福贵这样愚昧又不幸的人多如牛毛，而福贵的悲哀，也是多数中国人的悲哀。
      现代中国社会中的一个个“福贵”又何尝不是如此？我甚至可以望见，会有越来越多的现代福贵，他们上有老，而不一定有小，每天被房贷压的喘不过气，被日渐固化的阶级挤压着而失去了精神生活的机会，变的越来越贪图便宜和便捷而渐渐失去耐心，最终年复一年的劳作而仅仅满足温饱和生存的基础需求。这样的生活可能真的就只是活着，甚至是幸存。可以展望的未来是多少年过去以后，终将无依无靠，而眼前现实却依然没有转向一个好的方向。
       问题在哪里？
       我不说不是因为我不知道，而你也许早已知晓，只是我们都失去了畅所欲言的权力。",19,2021-08-15 22:56:09
安东。,还行,"我永远反对余华的这一结论：“人是为活着本身而活着的，而不是为了活着之外的任何事物所活着”。冯骥才尚且为那十年作出“荒诞是生活的本质”的注脚，余华笔下的生命却赤裸裸地面对命运，仿佛手无寸铁才是真理。我拒绝——我否定这赤裸一如我否定真理之门内的阿尔冯斯。真正的生活是逃亡。嘲讽的是，年代叙事的意义往往在于提醒我们何为“活着”。语言意外的平实，而有庆之死的荒诞性过于戏剧化，我更欣赏家珍死时视角远近的巧妙切换——“坐在我对面的这位老人，用这样的语气谈论着十多年前死去的妻子……我看到宁静在遥远处波动”，和世事无常的奇巧——“我爹是很有身份的人，可他拉屎时就像个穷人了”。
“几乎所有优秀的作家都处于和现实的紧张关系中，在他们笔下，只有当现实处于遥远状态时，他们作品中的现实才会闪闪发亮。2020-096",19,2020-08-06 22:31:16
七毛,力荐,一气呵成。,13,2015-08-24 13:52:46
南京刘经理,还行,余华和大冰，当代文学的泰山北斗，他们分别代表了中国人两种宝贵的精神品质，一个是我要活着，另一个是我不。,6,2023-12-27 10:07:31
锦翼,力荐,余华还能写出这样的书吗,12,2013-06-17 22:04:33
Hydrocarbon,还行,故事虚晃一过就像个故事梗概，就似回忆一阵就讲完了，痛苦不得细说。,6,2023-09-05 08:02:19
momo,力荐,"前两年读的书，当时只顾着哭，竟没注意到这个精彩的结尾：
炊烟在农舍的屋顶袅袅升起，在霞光四射的空中分散后消隐了。
女人吆喝着孩子的声音此起彼伏，一个男人挑着粪桶从我跟前走过，扁担吱呀吱呀一路响了过去。慢慢地，田野趋向了宁静，四周出现了模糊，霞光逐渐褪去。
我知道黄昏正在转瞬即逝，黑夜从天而降了。我看到广阔的土地袒露着结实的胸膛，那是召唤的姿态，就像女人召唤着她们的儿女，土地召唤着黑夜来临。",16,2021-02-22 23:33:13
sgzy,力荐,开头觉得活该，后面又感叹他命苦,5,2024-04-29 22:36:58
pikapika,推荐,作者把每一次动荡的后遗症像切蛋糕一样分派到人，福贵既是记叙的符号，又是意志的符号，当整篇文章快要以戏剧化的麻木惯性收尾，突然寥寥几笔黄昏到黑夜。我是见过农村的黄昏与黑夜的，西晒只剩下霞光作势，暑气渐去，田垄间的穗子和渠水和竹叶一样的摆动，还有身后的炊烟，一时间四处俱是轻微的沙沙细响，身和心却超脱般地静止了，然后就进入了黑夜。农村的黑夜并不让人恐慌，仿佛万事万物都被土地的湿气裹挟了，赐人几分熏熏然的忘性，在这样厚重的黑色里，苦乐悲喜都隐绰不明，伸出手去，像拥有一切，时间与空间，过去与现在，回忆与希冀。,29,2015-05-20 21:44:39
李苦瓜,力荐,一晚看完，一气呵成。之前看过电影，电影也拍得好，各有各的长处。,16,2014-03-02 21:37:08
J193,很差,开头就是猥亵与交污灵，全书主题是低贱的芝产犬儒主义,17,2020-07-16 13:38:12
